호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩126,883","₩111,990","₩14,893",11%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩134,842","₩119,800","₩15,042",11%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩126,883","₩119,800","₩7,083",5%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩182,665","₩162,546","₩20,119",11%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩245,998","₩219,058","₩26,940",10%
