호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩134,986","₩134,986",₩0,0%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩142,989","₩142,989",₩0,0%
리안호텔 (경쟁사),체크인시 객실배정 (Room Assigned At Upon Check-in),"₩162,692","₩162,692",₩0,0%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩174,672","₩174,672",₩0,0%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩182,735","₩182,735",₩0,0%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩246,094","₩246,094",₩0,0%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩101,095","₩101,095",₩0,0%
그리드인 호텔 (우리),이코노믹 더블 (Economic Double),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),더블룸 (Double Room),"₩108,583","₩108,583",₩0,0%
그리드인 호텔 (우리),트리플룸 (Triple),"₩137,677","₩137,677",₩0,0%
그리드인 호텔 (우리),패밀리룸 - 4인 (Family room - 4 pax),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),패밀리룸 - 5인 (Family Room - 5 Pax),"₩80,621","₩79,968",₩653,0%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩155,435","₩152,802","₩2,633",1%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩169,218","₩166,416","₩2,802",1%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩191,264","₩188,265","₩2,999",1%
나포레호텔 (경쟁사),디럭스룸 (트윈베드),"₩233,736","₩230,731","₩3,005",1%
나포레호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩267,886","₩264,519","₩3,367",1%
나포레호텔 (경쟁사),패밀리트윈 (Family Twin),"₩304,143","₩300,321","₩3,822",1%
