호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩238,903","₩70,800","₩168,103",70%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩246,007","₩73,000","₩173,007",70%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩301,948","₩89,600","₩212,348",70%
그리드인 호텔 (우리),트리플룸(주차 불가),"₩226,151","₩226,151",₩0,0%
그리드인 호텔 (우리),트리플룸 (Triple),"₩257,599","₩208,224","₩49,375",19%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩230,407","₩227,774","₩2,633",1%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩243,551","₩240,767","₩2,784",1%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩272,811","₩269,694","₩3,117",1%
