호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩134,986","₩19,853","₩115,133",85%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩142,989","₩21,120","₩121,869",85%
리안호텔 (경쟁사),체크인시 객실배정 (Room Assigned At Upon Check-in),"₩162,636","₩26,633","₩136,003",83%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩174,672","₩25,815","₩148,857",85%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩182,735","₩29,964","₩152,771",83%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩246,094","₩40,420","₩205,674",83%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩101,095","₩17,349","₩83,746",82%
그리드인 호텔 (우리),이코노믹 더블 (Economic Double),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),더블룸 (Double Room),"₩108,583","₩18,634","₩89,949",82%
그리드인 호텔 (우리),트리플룸 (Triple),"₩144,613","₩137,677","₩6,936",4%
그리드인 호텔 (우리),패밀리룸 - 4인 (Family room - 4 pax),"₩80,621","₩79,968",₩653,0%
그리드인 호텔 (우리),패밀리룸 - 5인 (Family Room - 5 Pax),"₩80,621","₩79,968",₩653,0%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩155,435","₩152,802","₩2,633",1%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩169,218","₩166,416","₩2,802",1%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩191,264","₩188,265","₩2,999",1%
나포레호텔 (경쟁사),디럭스룸 (트윈베드),"₩233,736","₩230,731","₩3,005",1%
나포레호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩267,886","₩264,519","₩3,367",1%
나포레호텔 (경쟁사),패밀리트윈 (Family Twin),"₩304,143","₩300,321","₩3,822",1%
