호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩134,986","₩40,000","₩94,986",70%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩142,989","₩42,400","₩100,589",70%
리안호텔 (경쟁사),체크인시 객실배정 (Room Assigned At Upon Check-in),"₩162,636","₩24,785","₩137,851",84%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩80,621","₩65,924","₩14,697",18%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩101,095","₩96,846","₩4,249",4%
그리드인 호텔 (우리),더블룸 (Double Room),"₩108,583","₩104,020","₩4,563",4%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩155,435","₩142,543","₩12,892",8%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩169,218","₩37,283","₩131,935",77%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩191,264","₩48,082","₩143,182",74%
