호텔,객실 타입,원가,할인가,할인액,할인율
리안호텔 (경쟁사),스탠다드 더블룸 (Standard Double Room),"₩126,883","₩111,990","₩14,893",11%
리안호텔 (경쟁사),스탠다드 트윈룸 (Standard Twin),"₩134,842","₩119,800","₩15,042",11%
리안호텔 (경쟁사),디럭스 더블 (Deluxe Double),"₩126,883","₩119,800","₩7,083",5%
리안호텔 (경쟁사),패밀리트윈 (Family Twin),"₩182,665","₩162,546","₩20,119",11%
리안호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩245,998","₩219,058","₩26,940",10%
그리드인 호텔 (우리),트윈룸 (Twin Room),"₩67,283","₩64,989","₩2,294",3%
그리드인 호텔 (우리),트리플룸 (Triple),"₩75,061","₩71,137","₩3,924",5%
그리드인 호텔 (우리),싱글룸 (Single - Room),"₩67,283","₩64,989","₩2,294",3%
그리드인 호텔 (우리),트윈룸(주차불가),"₩118,680","₩19,780","₩98,900",83%
그리드인 호텔 (우리),트리플룸(주차 불가),"₩133,530","₩22,255","₩111,275",83%
그리드인 호텔 (우리),패밀리룸 - 5인 (Family Room - 5 Pax),"₩199,357","₩193,535","₩5,822",2%
그리드인 호텔 (우리),더블룸 (Double Room),"₩67,283","₩64,989","₩2,294",3%
그리드인 호텔 (우리),이코노믹 더블 (Economic Double),"₩67,283","₩64,989","₩2,294",3%
그리드인 호텔 (우리),패밀리룸 - 4인 (Family room - 4 pax),"₩67,283","₩64,989","₩2,294",3%
나포레호텔 (경쟁사),슈페리어 트윈 (Superior Twin),"₩140,964","₩136,425","₩4,539",3%
나포레호텔 (경쟁사),디럭스룸 (트윈베드),"₩214,462","₩207,715","₩6,747",3%
나포레호텔 (경쟁사),디럭스 더블룸 (Deluxe Dbl),"₩140,964","₩136,425","₩4,539",3%
나포레호텔 (경쟁사),디럭스 트리플 (Deluxe Triple),"₩257,714","₩252,539","₩5,175",2%
나포레호텔 (경쟁사),패밀리트윈 (Family Twin),"₩300,665","₩291,350","₩9,315",3%
나포레호텔 (경쟁사),슈페리어 더블 (Superior Double),"₩140,964","₩136,425","₩4,539",3%
